Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
ADANIPOWER.NS,39.895664938777344,34.24342683141067,0,Utilities,Utilities - Independent Power Producers,3.800661,-2.23,0,32.315385221939586,-2.23,68.48,0.192,0,0
ADFFOODS.NS,,,0,Consumer Defensive,Packaged Foods,5.72878,28.10693201856854,0,6.303766402097138,40.845422177183075,12.023,0.456,0,0
ADL.NS,-26.013178404421144,128.25578532742492,0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.6448032,180.74936713010402,0,0.10150460363799686,921.4360398230089,44.166,0.323,0,0
ADORWELD.NS,8.34629053753887,18.11392665842604,0,Industrials,Specialty Industrial Machinery,2.451753,33.12820821527111,0,25.317764957363185,33.67003372673627,8.397,0.419,0,0
ADROITINFO.NS,,-116.66311186946785,0,Technology,Information Technology Services,0.62012064,28.639208088017433,0,0.12704606365777485,88.15700130756937,21.723,-0.356,0,0
ADSL.NS,34.54545454545455,47.39740820734342,0,Technology,Information Technology Services,2.239813,28.639208088017433,1,5.6950496875792584,12.43,14.683,0.906,0,0
ADVANIHOTR.NS,,,0,Consumer Cyclical,Lodging,6.9492106,34.09333187721774,1,2.859793478249581,21.386159687808902,0.653,-0.163,0,0
ADVENZYMES.NS,2.411107022796072,-1.5847002639931191,0,Basic Materials,Specialty Chemicals,2.5271149,36.470734724695,1,11.882714527042125,12.45,2.679,0.402,0,0
AFFLE.NS,19.636311355071584,28.357936941862583,0,Communication Services,Advertising Agencies,8.562563,19.01621635727663,0,27.207365824809045,35.11,2.786,0.695,0,0
AGARIND.NS,,,0,Basic Materials,Specialty Chemicals,2.324514,36.470734724695,1,77.34192354490634,11.04,69.355,0.06,0,0
AGRITECH.NS,-35.116579368543576,35.908096280087534,0,Consumer Defensive,Farm Products,,14.460399135399621,1,0.0,0.0,,0.0,0,0
AGROPHOS.NS,-66.50235849056604,-43.5435606060606,0,Basic Materials,Agricultural Inputs,1.2589326,183.57765609545956,1,0.4059859623855066,90.69279091240433,45.945,-0.32,0,0
AGSTRA.NS,-61.541830924222516,-26.741645137555803,0,Technology,Software - Infrastructure,0.11804231,19.331636647382766,1,-13.246422744553126,-0.3925588138230164,199.958,0.179,0,0
AHLADA.NS,8.491441078895189,8.236288504883548,0,Industrials,Building Products & Equipment,0.6066023,-257.63499120163647,0,7.195418311276217,9.007120530912532,29.304,0.694,0,0
